con_C_rep1	con_C_rep2	con_C_rep3	con_E_rep1	con_E_rep2	con_E_rep3	con_S_rep1	con_S_rep2	con_S_rep3
YGR004W	0.447486085431698	0.382571933378423	0.408053917265634	-0.090556791713043	-0.317236850585322	-0.385482313497113	-0.175109486594932	0.0130558482953402	-0.282782341980681
YDR402C	-0.921047242521469	-0.704083823103697	-1.24009970967149	0.0939942704708496	0.274623178902329	0.524055779485262	0.825952581727154	0.553491892572691	0.593113072138367
YPR019W	-0.0911700492047425	-0.0923027288586846	-0.0208401609713889	0.166002426794035	-0.000290648322338605	0.17736727944963	-0.0405877447863494	0.000578702229426575	-0.0987570763295835
YOL116W	-0.475631282039124	-0.347643640094429	-0.464454846550054	0.546972991396797	0.457274267083717	0.428212004161194	-0.0954362291437967	0.134577963515953	-0.183871228330261
YPL128C	0.536741883094129	0.540070326057196	0.328933538070102	-0.472445408035651	-0.326383214319232	-0.354668032739238	-0.0525832418486196	-0.159750717738967	-0.0399151325397211
YEL042W	0.505511658236343	0.530062538953938	0.603178657521826	-0.36145440762099	-0.263899495732066	-0.638687798159486	-0.194488433006671	0.01801433677117	-0.198237056964061
YNL135C	-0.131148153027159	-0.225107609566077	0.0206228876800258	-0.129383859573029	-0.0828817729336073	-0.0365154318591108	0.2322302810045	0.200022090574329	0.152161567700127
YDR335W	-0.159271668388974	-0.122216120530126	0.0777438974323044	0.160519398309161	-0.0465767122739393	0.163338167734917	-0.0523440729887206	-0.0128011735181728	-0.00839171577645192
YPR083W	-1.09824828801938	-0.992152429050873	-0.96339348703916	0.743969028699049	1.03194877520071	0.786923032365917	0.201929752827379	0.151364310498165	0.137659304518193
YBR107C	0.0467579533959661	0.0838727461899165	0.028956246722597	0.0886697750083174	-0.0480624543567441	0.0983152122856747	-0.0174088268852524	-0.353829506426806	0.0727288540663338
YJR102C	-0.390636893137513	-0.343851911023357	-0.00996273374065293	0.00180295218271453	0.185028133117406	0.37598605895765	-0.0224836771453143	0.118236178424588	0.0858818923644735
YNR053C	1.33371205002571	1.19236426228832	1.11832579301104	-1.13138030300521	-0.954520029901105	-1.26758816931007	-0.0454033422901654	0.1173507519284	-0.362861012746913
YGL093W	-0.024004043732397	0.0315190086865504	0.098196710770603	-0.0681685811300685	-0.26692203812774	0.0325383976038607	-0.0443371898374343	0.0730913881715525	0.168086347595075
YML087C	-2.05815429153859	-1.6130200952088	-2.12258660156923	2.50838382236	2.35536280845277	2.19254303929733	-0.62255314255256	-0.342841909508678	-0.297133629732249
YDR364C	0.0215110432812802	-0.0424824140713485	0.0941884978096619	0.0571391859061219	0.0490542065883774	-0.00617545564561794	0.0723825184973714	-0.106603615367201	-0.139013966998647
YGR202C	0.15188174133334	0.191241526529563	-0.0365815817289521	0.0315918610708898	0.0542756996485263	-0.0692490278715381	-0.133247614887269	-0.0469488407710106	-0.142963763323553
YOR162C	-0.696702419257908	-0.860797378267513	-0.804928332465344	0.0550011769314054	0.0707100151176068	0.25696253799624	0.677715061415546	0.705141174833574	0.596898163696392
YNL289W	-0.0514075092580706	-0.0784497523991909	-0.397816709658316	-0.381444139842106	0.114615424659531	-0.143979945172407	0.150346913947033	0.464701659040397	0.323434058683127
YMR155W	-0.300400992184923	-0.387191762667797	-0.310328125195392	0.319135438597931	0.323358290614349	0.167038359355521	0.0484852983920936	0.0875342261265857	0.0523692669616285
YJR027W	0.672959689347856	0.506485108605684	0.746088243722346	-0.726154713001211	-1.017838062525	-0.685799261811427	0.0877272903309194	0.19021455322153	0.226317152109299
YGL108C	0.0602616641049503	-0.098951498047068	-0.0897516990477474	-0.055115136259932	0.122562900264568	0.0377159686782749	0.0105763385453512	-0.0609934093982503	0.0736948711598515
YNL227C	0.339884689648421	0.324445037485154	0.238423440431139	-0.55778640084387	-0.264155881385638	-0.305907932100488	0.0252229855986279	0.308112303711242	-0.108238242544587
YDL226C	0.299742618594084	0.329357722905042	0.420965839044521	-0.282587934800319	-0.303598238735052	-0.565230650311051	-0.0574092877860712	0.140370472068932	0.0183894590199154
YLL038C	0.39656329913801	0.224539868869639	0.0923990813395683	-0.347283318521424	0.0739395901461535	-0.290076553645444	-0.14684097855429	-0.106972960914685	0.103731972142472
YJR153W	-0.0175604551504982	-0.438578874132482	-0.383725583222759	0.250407752758034	-0.178529906829184	0.21039562540606	0.141079460308532	0.27188645591356	0.144625524948736
YMR182C	-0.510482928771299	-0.69424149028124	-0.379629102311698	0.570593484613808	0.283696930095606	0.903417141671284	-0.00717986274093985	0.0437354606410372	-0.209909632916556
YBR255W	-0.308527079546464	-0.0569707652882308	-0.236824911962361	0.100687645369081	0.115727362561574	0.0760142945498901	0.141943389620383	0.25451917182401	-0.0865691071278842
YOL104C	-0.098508038138708	-0.516957391021543	-0.497672705742326	-0.150951220884549	0.207100888224479	0.242813080953725	0.400808469546308	0.520684775161803	-0.107317858099189
YOR174W	0.00939095730060302	0.0149367145998438	-0.100397087480199	-0.0496362069968708	-0.191546412701526	0.0161959337298221	0.237542202608972	0.071462205782681	-0.00794830684332393
YHR128W	0.992211300666643	0.9296777744541	0.875347221189144	-0.766313426545241	-0.492511052398763	-1.16776658592333	-0.0881795136813794	0.104773817126528	-0.387239534887706
YBL015W	-2.42435434425252	-2.35343295193264	-2.43559263672893	2.76727689925552	2.78999274663821	2.77067931420475	-0.423141036899928	-0.269162115260093	-0.422265875024369
YJL219W	-0.375131243222108	-0.523870440108221	-0.473681189166695	0.569553890590572	0.346083430643191	0.0710676560440158	0.0533361822070297	-0.0642119411503259	0.396853654162538
YAL019W	0.712213296421675	0.736762076825959	0.69591676070696	-0.564853224815704	-0.687056444515335	-0.541973739417521	-0.14114554652998	0.148009255686041	-0.357872434362092
YKL182W	-0.535757415997399	-0.484765570322862	-0.686216772077778	-0.239006934456109	-0.274913716822715	-0.382770813179064	0.868973155206627	0.840866390749298	0.893591676900003
YLR110C	0.438359028513698	0.452826227883149	0.575010250091125	-0.535171496933888	-0.483788886959054	-0.377966829863166	-0.021655853787081	-0.0957583039821301	0.0481458650373519
YGR211W	0.319183509857295	0.28932066355015	0.182764970007304	-0.38583026794175	-0.610034390624205	-0.476981257962028	0.200078709044762	0.35248540469345	0.129012659375022
YJL178C	0.262423376894802	0.210905846377119	0.163264613553419	-0.0624252493570561	-0.0981149817578126	-0.265872991881606	-0.0879870776741498	-0.0753384710072691	-0.0468550651474446
YLR331C	0.966203772928483	1.59015967182211	1.37643601247051	-0.935066936180194	0.391737929683926	-0.935066936180194	-0.584269642184249	-0.935066936180194	-0.935066936180194
YPL133C	-0.389694512029571	-0.610451208219045	-0.964367269832157	0.705167504352665	0.671345444105335	0.867662667921482	-0.143545653199365	0.0440845748374485	-0.180201547936789
YBR083W	-0.18274746915303	-0.234861746783559	-0.451777624196982	-0.142623642120334	-0.00882392699210932	-0.0389459458780301	0.311951711066497	0.403990435019008	0.343838209038536
YJL053W	-0.353219293208749	-0.201394715470927	-0.31284509377039	0.168112158945966	0.139907037067442	0.157086835237845	0.142612911548493	0.136566055463536	0.123174104186782
YKL137W	-0.57946734967252	-0.494189177503528	-0.769339811737236	0.858380334660503	0.869039743298676	0.846315145818664	-0.397540425742055	-0.120106346915971	-0.213092112206533
YEL034W	0.166656927692687	0.254024145810295	0.201308688561602	-0.523764330539393	-0.316536489643447	-0.660526094806077	0.335346599350519	0.248258908250618	0.2952316453232
YPR063C	0.462660824611373	0.302955981152353	0.0433523836406824	0.187422420919764	0.188730907809494	-0.125219448283746	-0.319573767804473	-0.401747252302526	-0.338582049742917
YDL095W	0.748363957895599	0.677553103676583	0.594588120893699	-0.248706050963442	-0.214431822492598	-0.323959084709006	-0.388587547343757	-0.410938146127901	-0.433882530829177
YLR370C	-0.416462795656246	-0.535235255508351	-0.178628532403648	0.0262490845592502	0.153976836790724	0.185091084051327	0.172434237730453	0.261459021845709	0.331116318590778
YNR008W	0.56917138242024	0.71012938892892	0.612776859725956	-0.177128137982677	-0.268334681046541	-0.331671049170576	-0.466594889089389	-0.24164540654526	-0.40670346724067
YER156C	0.582743009724456	0.759226883518189	0.805885787423477	-0.538025493230335	-0.500041810772858	-0.830305525779298	-0.0773404449548751	-0.0755082817321133	-0.126634124196643
YMR272C	0.501203704975591	0.404688407605171	0.371808785849517	0.359401278576868	0.341275846399153	0.335070283586493	-0.871464114413246	-0.663760121175694	-0.778224071403846
