con_C_rep1	con_C_rep2	con_C_rep3	con_E_rep1	con_E_rep2	con_E_rep3	con_S_rep1	con_S_rep2	con_S_rep3
con_C_rep1	1	0.922037850282962	0.926108968944233	-0.777902260030411	-0.748069810172367	-0.787417612551508	-0.555476047613023	-0.518924782806255	-0.622596005544028
con_C_rep2	0.922037850282962	1	0.922818924382623	-0.768238209985706	-0.739501406496295	-0.792975823841642	-0.563059817472669	-0.520474546679646	-0.622839390686387
con_C_rep3	0.926108968944233	0.922818924382623	1	-0.791193273313959	-0.762442580567928	-0.781961920971193	-0.536937216935749	-0.527895811951473	-0.607750279186744
con_E_rep1	-0.777902260030411	-0.768238209985706	-0.791193273313959	1	0.868755764083453	0.869762526635229	0.0536156667359451	0.0302701516436866	0.137825329111989
con_E_rep2	-0.748069810172367	-0.739501406496295	-0.762442580567928	0.868755764083453	1	0.846014163971817	0.00672948405509012	0.0196712581147389	0.0907528416085439
con_E_rep3	-0.787417612551508	-0.792975823841642	-0.781961920971193	0.869762526635229	0.846014163971817	1	0.0737022870265691	0.0414677057390235	0.16717950376512
con_S_rep1	-0.555476047613023	-0.563059817472669	-0.536937216935749	0.0536156667359451	0.00672948405509012	0.0737022870265691	1	0.81556496833667	0.858530197374997
con_S_rep2	-0.518924782806255	-0.520474546679646	-0.527895811951473	0.0302701516436866	0.0196712581147389	0.0414677057390235	0.81556496833667	1	0.783504103504957
con_S_rep3	-0.622596005544028	-0.622839390686387	-0.607750279186744	0.137825329111989	0.0907528416085439	0.16717950376512	0.858530197374997	0.783504103504957	1
