group	lib.size	norm.factors	eff.lib.size
con_C_rep1	1000006	0.991668352564578	991674.302574693
con_C_rep2	1000028	0.993893445822838	993921.274839321
con_C_rep3	1000005	0.963131084477199	963135.900132622
con_E_rep1	999979	1.00194524929755	1001924.20844731
con_E_rep2	1000016	1.00154756031526	1001563.58507622
con_E_rep3	999988	1.00848587161188	1008473.76978142
con_S_rep1	999991	1.00793810788275	1007929.03643978
con_S_rep2	999997	1.03017080773642	1030167.717224
con_S_rep3	999998	1.00248949325627	1002487.48827729
