C_1	C_2	C_3	T_1	T_2	T_3
C_1	1	-0.116711217684657	-0.130249899709011	-0.369146538651176	-0.370218869234504	-0.354582728001193
C_2	-0.116711217684657	1	-0.134495027763297	-0.366366429106127	-0.371440477821071	-0.368427202450958
C_3	-0.130249899709011	-0.134495027763297	1	-0.352435000974693	-0.352672280976414	-0.361193187537691
T_1	-0.369146538651176	-0.366366429106127	-0.352435000974693	1	0.300835404058929	0.285948614983121
T_2	-0.370218869234504	-0.371440477821071	-0.352672280976414	0.300835404058929	1	0.298107462804748
T_3	-0.354582728001193	-0.368427202450958	-0.361193187537691	0.285948614983121	0.298107462804748	1
