clusters	colors
XM_010059725.3	1	#00FF66
XM_018863104.2	2	#00FFCF
XM_010063316.3	2	#00FFCF
XM_010062854.3	1	#00FF66
XM_010046121.3	2	#00FFCF
XM_010026678.3	1	#00FF66
XM_010037170.3	1	#00FF66
XR_005547344.1	8	#FF00B6
XM_010038913.3	1	#00FF66
XM_039298953.1	1	#00FF66
XM_010033210.3	2	#00FFCF
XM_039301827.1	1	#00FF66
XM_039307597.1	1	#00FF66
XM_010053548.3	1	#00FF66
XM_010054041.3	2	#00FFCF
XM_010070166.2	4	#005CFF
XM_010038151.3	1	#00FF66
XM_039302701.1	1	#00FF66
XM_010044956.3	1	#00FF66
XM_039303265.1	1	#00FF66
XM_039313166.1	1	#00FF66
XR_005553193.1	1	#00FF66
XM_039301592.1	1	#00FF66
XM_010065097.3	7	#DF00FF
XM_010035368.3	2	#00FFCF
XM_039309044.1	1	#00FF66
XM_039313321.1	1	#00FF66
XM_010071456.3	2	#00FFCF
XM_010046364.3	3	#00C6FF
XM_039307542.1	1	#00FF66
XM_039303451.1	9	#FF004D
XM_010051652.3	3	#00C6FF
XM_010057395.3	3	#00C6FF
XM_010034217.3	1	#00FF66
XM_010065243.2	1	#00FF66
XM_010044064.3	1	#00FF66
XM_010033886.3	2	#00FFCF
XM_039318088.1	2	#00FFCF
XM_010027311.3	1	#00FF66
XM_010035737.3	4	#005CFF
XM_010065109.3	2	#00FFCF
XM_018872367.2	2	#00FFCF
XM_018866143.2	3	#00C6FF
XM_018865589.2	1	#00FF66
XM_010048999.3	1	#00FF66
XM_039306552.1	2	#00FFCF
XM_039300957.1	4	#005CFF
XM_018877231.2	3	#00C6FF
XM_039310430.1	1	#00FF66
XM_010054910.3	3	#00C6FF
XM_039306361.1	3	#00C6FF
XM_039304083.1	1	#00FF66
XR_005550993.1	2	#00FFCF
XM_010046731.3	1	#00FF66
XM_010063216.3	2	#00FFCF
XM_039314786.1	1	#00FF66
XM_039305716.1	4	#005CFF
XM_039298768.1	1	#00FF66
XM_010035577.3	1	#00FF66
XM_010058037.3	2	#00FFCF
XM_010026834.3	3	#00C6FF
XM_039315105.1	4	#005CFF
XM_010068712.3	1	#00FF66
XR_005550807.1	1	#00FF66
XM_039318336.1	2	#00FFCF
XR_005553040.1	1	#00FF66
XM_010034513.2	1	#00FF66
XM_010026338.3	2	#00FFCF
XM_018871942.2	1	#00FF66
XM_010026006.3	1	#00FF66
XM_039316689.1	2	#00FFCF
XM_010066433.3	1	#00FF66
XM_039310316.1	1	#00FF66
XM_010049187.3	1	#00FF66
XM_039307297.1	4	#005CFF
XM_039318229.1	1	#00FF66
XR_005546222.1	4	#005CFF
XM_010039219.3	1	#00FF66
XM_039306395.1	1	#00FF66
XM_010038974.3	2	#00FFCF
XM_010027297.3	1	#00FF66
XM_039307797.1	3	#00C6FF
XR_005546010.1	2	#00FFCF
XM_010068537.3	2	#00FFCF
XM_010057479.3	3	#00C6FF
XM_010055186.3	2	#00FFCF
XM_010031504.3	1	#00FF66
XM_039308797.1	2	#00FFCF
XM_010048592.3	2	#00FFCF
XM_010045215.3	1	#00FF66
XM_039303868.1	4	#005CFF
XM_039311013.1	1	#00FF66
XM_039305424.1	3	#00C6FF
XM_010063884.3	2	#00FFCF
XM_039309036.1	2	#00FFCF
XM_010043381.3	4	#005CFF
XM_010061734.3	3	#00C6FF
XM_010046145.3	1	#00FF66
XR_005551976.1	3	#00C6FF
XM_039308969.1	1	#00FF66
XM_010058478.3	1	#00FF66
XM_010037548.3	1	#00FF66
XM_039301817.1	2	#00FFCF
XM_039312498.1	2	#00FFCF
XR_005550545.1	3	#00C6FF
XM_010035058.3	1	#00FF66
XM_010070517.3	1	#00FF66
XR_005551246.1	2	#00FFCF
XM_010036908.3	1	#00FF66
XM_010034734.3	2	#00FFCF
XM_010063274.3	4	#005CFF
XM_039301806.1	2	#00FFCF
XM_010065211.3	2	#00FFCF
XM_039298763.1	1	#00FF66
XM_039301551.1	3	#00C6FF
XM_010050000.3	2	#00FFCF
XM_039316753.1	1	#00FF66
XM_010042860.3	3	#00C6FF
XM_010069251.3	1	#00FF66
XM_010071333.3	3	#00C6FF
XM_010039733.3	1	#00FF66
XM_010064473.3	2	#00FFCF
XM_018876963.2	1	#00FF66
XM_010050829.3	2	#00FFCF
XM_039312642.1	1	#00FF66
XM_039307653.1	2	#00FFCF
XM_010046253.3	1	#00FF66
XM_039304118.1	4	#005CFF
XM_039313125.1	1	#00FF66
XM_010039990.3	1	#00FF66
XM_010062729.3	2	#00FFCF
XR_005553195.1	1	#00FF66
XM_010054050.3	1	#00FF66
XM_010064274.3	2	#00FFCF
XM_010058842.3	1	#00FF66
XM_010028529.2	1	#00FF66
XM_010071349.3	1	#00FF66
XM_010063819.3	1	#00FF66
XM_010064941.3	2	#00FFCF
XM_010038439.3	4	#005CFF
XM_010049964.3	2	#00FFCF
XM_010070751.3	1	#00FF66
XM_039304029.1	1	#00FF66
XM_010029383.3	1	#00FF66
XM_010050268.3	1	#00FF66
XM_010026182.2	1	#00FF66
XM_010049868.3	2	#00FFCF
XM_039303761.1	1	#00FF66
XM_010030710.3	1	#00FF66
XM_018865051.2	1	#00FF66
XM_010061704.3	1	#00FF66
XR_005547010.1	1	#00FF66
XM_010047706.3	3	#00C6FF
XM_010055858.3	4	#005CFF
XR_005550246.1	1	#00FF66
XM_010071828.3	1	#00FF66
XM_018863006.2	1	#00FF66
XR_005547912.1	2	#00FFCF
XM_010025992.3	1	#00FF66
XM_010064606.3	2	#00FFCF
XM_010056412.3	2	#00FFCF
XM_039315436.1	2	#00FFCF
XM_039301520.1	1	#00FF66
XM_010062228.3	1	#00FF66
XM_010045393.3	2	#00FFCF
XM_039300421.1	1	#00FF66
XM_010068966.3	1	#00FF66
XR_005549845.1	1	#00FF66
XM_039310089.1	1	#00FF66
XR_005553053.1	1	#00FF66
XM_010029263.3	3	#00C6FF
XM_039317218.1	1	#00FF66
XM_010054541.3	2	#00FFCF
XM_010038480.3	1	#00FF66
XM_039308725.1	1	#00FF66
XM_010048691.3	3	#00C6FF
XM_039300536.1	2	#00FFCF
XM_010059914.3	4	#005CFF
XR_005550689.1	3	#00C6FF
XM_039309008.1	4	#005CFF
XM_010037192.3	2	#00FFCF
XM_039315746.1	1	#00FF66
XM_018862944.2	1	#00FF66
XM_010068274.3	4	#005CFF
XM_039315486.1	1	#00FF66
XM_039303614.1	2	#00FFCF
XM_039300479.1	1	#00FF66
XR_005553103.1	6	#7600FF
XM_010065289.3	2	#00FFCF
XM_010057661.3	1	#00FF66
XM_018870990.2	1	#00FF66
XM_010031506.3	4	#005CFF
XM_010068484.3	1	#00FF66
XM_010064469.3	1	#00FF66
XM_039311797.1	4	#005CFF
XM_010068954.3	4	#005CFF
XM_039316801.1	1	#00FF66
XM_039315423.1	1	#00FF66
XM_039300566.1	7	#DF00FF
XM_010039919.3	2	#00FFCF
XM_039306496.1	1	#00FF66
XM_039305005.1	3	#00C6FF
XM_018876685.2	3	#00C6FF
XR_005549521.1	1	#00FF66
XM_010063424.3	1	#00FF66
XM_010051005.3	1	#00FF66
XM_039316408.1	3	#00C6FF
XM_039311551.1	3	#00C6FF
XM_018861811.2	1	#00FF66
XM_010058803.3	1	#00FF66
XM_039307394.1	1	#00FF66
XM_018876213.2	1	#00FF66
XM_018874334.2	3	#00C6FF
XM_010068713.3	4	#005CFF
XR_005546070.1	2	#00FFCF
XM_039308140.1	2	#00FFCF
XM_039307496.1	1	#00FF66
XM_010032767.3	1	#00FF66
XM_010051489.3	1	#00FF66
XM_039311488.1	2	#00FFCF
XM_010057549.3	3	#00C6FF
XM_039310150.1	6	#7600FF
XM_010068479.3	2	#00FFCF
XM_018865792.2	1	#00FF66
XM_010057114.3	1	#00FF66
XR_005548010.1	1	#00FF66
XM_039312166.1	6	#7600FF
XM_010047020.3	1	#00FF66
XM_010059094.3	1	#00FF66
XM_039305150.1	1	#00FF66
XM_039315589.1	1	#00FF66
XM_039302945.1	3	#00C6FF
XM_010026479.3	1	#00FF66
XM_010057292.3	1	#00FF66
XM_010063805.3	1	#00FF66
XR_005547726.1	1	#00FF66
XM_010062371.3	2	#00FFCF
XM_039300422.1	1	#00FF66
XM_010050394.3	1	#00FF66
XM_010039866.3	1	#00FF66
XR_726510.3	1	#00FF66
XM_039310559.1	3	#00C6FF
XR_005551916.1	1	#00FF66
XR_005545726.1	1	#00FF66
XM_010062895.3	2	#00FFCF
XM_010038438.3	1	#00FF66
XM_010041913.3	2	#00FFCF
XM_010045546.3	1	#00FF66
XM_010035434.3	1	#00FF66
XM_039310817.1	2	#00FFCF
XM_039308597.1	1	#00FF66
XM_018876262.2	1	#00FF66
XM_039315163.1	1	#00FF66
XR_005548517.1	1	#00FF66
XR_005545727.1	3	#00C6FF
XM_039301687.1	2	#00FFCF
XR_005548804.1	3	#00C6FF
XM_039308717.1	4	#005CFF
XM_039305895.1	2	#00FFCF
XM_039312039.1	4	#005CFF
XR_005552342.1	1	#00FF66
XM_010068462.3	3	#00C6FF
XM_010054317.3	1	#00FF66
XM_039303731.1	2	#00FFCF
XR_005549435.1	1	#00FF66
XM_010046536.3	1	#00FF66
XM_010050242.3	1	#00FF66
XM_039308065.1	1	#00FF66
XM_010057825.3	2	#00FFCF
XM_010054953.3	1	#00FF66
XM_010069319.3	3	#00C6FF
XR_005551787.1	2	#00FFCF
XM_010058033.3	2	#00FFCF
XM_010038819.3	1	#00FF66
XM_039299373.1	1	#00FF66
XM_039305790.1	1	#00FF66
XM_010030220.3	7	#DF00FF
XM_010038903.3	2	#00FFCF
