C_1	C_2	C_3	T_1	T_2	T_3
C_1	1	0.915422442612469	0.893266405714763	-0.937419737678863	-0.933680035435901	-0.933294555082823
C_2	0.915422442612469	1	0.904186637011744	-0.936671278193997	-0.937240743833174	-0.940235522805043
C_3	0.893266405714763	0.904186637011744	1	-0.930555898958136	-0.929758646289026	-0.931185381392646
T_1	-0.937419737678863	-0.936671278193997	-0.930555898958136	1	0.899254645954632	0.900786351350732
T_2	-0.933680035435901	-0.937240743833174	-0.929758646289026	0.899254645954632	1	0.897164724678407
T_3	-0.933294555082823	-0.940235522805043	-0.931185381392646	0.900786351350732	0.897164724678407	1
