con_C_rep1	con_C_rep2	con_C_rep3	con_E_rep1	con_E_rep2	con_E_rep3	con_S_rep1	con_S_rep2	con_S_rep3
con_C_rep1	1	0.949955030326211	0.937459139016749	-0.843527069862303	-0.821743161885107	-0.850056724205884	-0.574534239056462	-0.555169648878325	-0.631422479965387
con_C_rep2	0.949955030326211	1	0.948078004843308	-0.839803542453486	-0.818328242827257	-0.84319837914425	-0.589123456744231	-0.569056539567255	-0.644745406803405
con_C_rep3	0.937459139016749	0.948078004843308	1	-0.846334541516999	-0.822671047260622	-0.829455538823542	-0.576908783296573	-0.568583235739978	-0.643229321832465
con_E_rep1	-0.843527069862303	-0.839803542453486	-0.846334541516999	1	0.95919367248559	0.948475140915928	0.125484921184248	0.117259788440348	0.209962129405335
con_E_rep2	-0.821743161885107	-0.818328242827257	-0.822671047260622	0.95919367248559	1	0.926818994434757	0.100224628492738	0.0910472850237776	0.170920686333573
con_E_rep3	-0.850056724205884	-0.84319837914425	-0.829455538823542	0.948475140915928	0.926818994434757	1	0.139489187595514	0.122266069002715	0.217324560445898
con_S_rep1	-0.574534239056462	-0.589123456744231	-0.576908783296573	0.125484921184248	0.100224628492738	0.139489187595514	1	0.917586434029174	0.931338048159724
con_S_rep2	-0.555169648878325	-0.569056539567255	-0.568583235739978	0.117259788440348	0.0910472850237776	0.122266069002715	0.917586434029174	1	0.900562620313023
con_S_rep3	-0.631422479965387	-0.644745406803405	-0.643229321832465	0.209962129405335	0.170920686333573	0.217324560445898	0.931338048159724	0.900562620313023	1
