con_C_rep1	con_C_rep2	con_C_rep3	con_E_rep1	con_E_rep2	con_E_rep3	con_S_rep1	con_S_rep2	con_S_rep3
YLR038C	-1.42633224901269	-1.29153096840569	-1.77327949886423	1.22945439313094	1.23212093303934	1.19378237997775	0.219157324227929	0.363941910623591	0.25268577528306
YMR133W	-1.09700100072859	-0.992907844113662	-0.857647343662118	1.16979636946089	1.01019213448579	1.54925845008228	-0.250641887655248	-0.306755519030654	-0.224293358838682
YHL033C	1.17119728933573	1.1403877954629	1.23067129074462	-1.46062281074772	-1.29671334491988	-1.44798820974827	0.204929718503736	0.286974154003008	0.171164117365876
YGL031C	1.17198349181633	1.24384067371749	1.21767583316054	-1.30755159660402	-1.42188572603015	-1.46584434015117	0.257947742367991	0.317624067762898	-0.0137901460399092
YHR208W	1.30351059815895	1.40240048455732	1.42617819567024	-1.23027853180787	-1.01567872827	-1.45381881722167	-0.104572150053354	0.0183380064381815	-0.346079057471796
YDR019C	1.12398671517187	1.17191374019285	1.17034092637566	-1.11977850935205	-1.03483995601609	-1.01105773343504	-0.147367276805892	-0.048954012875889	-0.104243893255405
YPL198W	1.36369401619451	1.30201412828448	1.57792061808617	-1.49130241907358	-1.72463237462985	-2.43736382109446	0.460186058135974	0.490246937589545	0.459236856507225
YOR185C	-1.93898771876053	-1.83629583229759	-1.62957385817964	1.0796470876323	1.01554287615958	1.1464255229641	0.678995635314685	0.641795955656582	0.842450331510504
YDR234W	0.849358839269519	0.921407040512672	0.785391644974257	-1.24101108510247	-0.907177976040362	-1.44404402749316	0.352666213912543	0.506763309857519	0.176646040109483
YNL160W	-2.70411335301715	-3.05641322034356	-3.14930495518039	1.83368450594192	1.27385101172713	1.51086222188886	1.38814411412099	1.29623573159503	1.60705394326717
YDL214C	-3.04101775708079	-2.58374979504319	-2.85061366923444	1.08633136976888	0.718563668848227	1.27900958409162	1.8103341212107	1.60561551736451	1.97552696007449
YIL136W	-3.54239512263385	-3.39653855806389	-3.59102547687569	2.26869342673603	2.25515742206799	2.34492453492943	1.19855516557525	1.06301546370491	1.39961314455983
YOL084W	-3.05304138559781	-2.31774543951186	-2.98915981729716	1.80881429355092	1.80051864369038	1.67629967283358	1.02782984876463	0.808109087846682	1.23837509572064
YLR327C	-4.76717405335437	-4.9938735445273	-5.22794809822348	2.16108186368136	1.97945939929821	2.40532795816348	2.87608697615721	2.68047024272034	2.88656925608453
YOR003W	-1.52121450058191	-1.4536798263959	-1.07247608309613	1.34942398243681	1.2864246291597	1.03649937085025	0.326693974384626	0.0361614002626052	0.0121670529799411
YLR308W	-1.78947932843347	-1.78947932843347	-1.78947932843347	3.22259763658135	2.62391165760866	2.74109087546906	-0.795261681027478	-1.25641440656383	-1.16748609676735
YDR216W	-2.7064516622307	-2.96248644135044	-2.7674447267626	1.63567458621717	1.499936724772	1.79319446287717	1.20859299325013	1.04614275110874	1.25284131211852
YJR150C	-1.05673475041222	-1.71208657902477	-1.71208657902477	-0.30228835119635	-0.2594911443219	0.286108924128483	1.52103453889505	1.52593593880095	1.70960800215552
YGR201C	-1.92781113545996	-1.79309113941632	-2.09137289500166	1.29859824545235	1.04210303426519	1.44178543053091	0.632915790567234	0.56304068521083	0.833831983851415
YER056C-A	1.06139130417401	1.19176063539557	1.18816169686539	-1.21668269638979	-1.11830415693708	-1.41841300727087	0.0761710464552596	0.15467712525283	0.0812380524546832
YGR043C	-3.17292388317172	-3.65411331601544	-4.17909717047243	1.43650460259909	1.23782726987262	1.69928008796278	2.17462047554518	2.02796506851307	2.42993686516686
YGR148C	1.26725669300448	1.28367981334513	1.33193338117912	-1.30565111658289	-1.15391776531658	-1.48224966214294	0.0265755148999727	-0.0110608520618491	0.0434339936755723
YIL133C	1.29471178327542	1.2353607106559	1.45356094223643	-1.37497978012677	-1.4156671184322	-1.41316519622447	0.120828822631617	0.111258486578253	-0.0119086505941706
YDR377W	-1.09968835692326	-1.09390436940576	-1.11798721140146	0.98178460568392	1.10029323011005	1.06186778248736	0.105500316943777	0.0736236200125173	-0.0114896175071504
YOL039W	1.18331649016223	1.20386646849702	1.33351564801421	-1.40346080916508	-1.1254545039038	-1.64002191733269	0.197182080684398	0.177126305244377	0.0739302377993258
YGR159C	1.40349342621861	1.36016658977545	1.39380041389886	-1.80925912905897	-1.65520504353311	-2.35253628954077	0.571674614145108	0.898830543971105	0.189034874123712
YMR230W	1.07602218745357	0.91797733776324	1.0972823690953	-1.20848804819629	-0.950245987679063	-1.34856029518164	0.11495529452597	0.183739785963462	0.117317356255445
YBR230C	-2.92199934240936	-2.87001912849894	-2.95166135231785	1.96959689064834	1.93912704157936	1.8671106575265	0.991031653057608	0.960659700266234	1.01615388014811
YDR324C	0.937721870657075	1.05324030112256	1.00296659357794	-1.26459590641073	-0.964078264933781	-1.01132042276461	0.060241179901924	0.263079961922972	-0.0772553130733451
YGR035C	1.13006397756129	1.86167830515423	1.50343971453256	-1.34652828272498	-1.26727797574358	-0.702913716355114	-0.658893987824376	0.0287046027814082	-0.548272637381433
YOL101C	-1.9834587169277	-2.81461343162261	-1.92147546136736	0.766253205024178	0.421220764829581	1.13227253161463	1.32347127613799	1.25821798607142	1.81811184623987
YOL052C-A	-3.45994630862929	-4.3801339078775	-4.31899647868946	1.61889613013203	1.51692805912243	2.05267795965076	2.48336738713347	2.07938627719149	2.40782088196609
YFL052W	-1.20032308837062	-1.9042112852874	-1.25685413219679	1.31606133674732	0.762545306597408	1.25343132687222	0.0310389055357709	0.47491674260758	0.523394887494504
YIL099W	-1.97419466535938	-1.97613507592881	-1.45299529382527	0.538959838741331	0.512132180340982	0.654221475520768	1.26364492570792	1.06608032353993	1.36828629126252
YBR117C	-2.54787380969403	-2.50272038582632	-2.90990620359238	0.961443027561796	0.336552999713727	1.10543392935496	1.80476244886692	1.59207726344024	2.16023073017509
YLL045C	1.41832282123221	1.38726826522858	1.55640868054036	-1.63189234353969	-1.58205176502217	-1.91646710742265	0.338739242667303	0.329634326325825	0.100037879990225
