clusters	colors
YBR183W	1	#00FF66
YPL131W	2	#00FFA2
YNL096C	2	#00FFA2
YHR068W	2	#00FFA2
YLL066C	1	#00FF66
YFL060C	1	#00FF66
YML087C	1	#00FF66
YOR228C	1	#00FF66
YDR091C	2	#00FFA2
YDL085W	4	#00E4FF
YHR183W	3	#00FFDE
YBR295W	8	#0D00FF
YGL191W	1	#00FF66
YER067W	1	#00FF66
YHL021C	1	#00FF66
YLR053C	1	#00FF66
YNL182C	2	#00FFA2
YNL117W	9	#4900FF
YEL011W	1	#00FF66
YOR312C	2	#00FFA2
YGR254W	3	#00FFDE
YEL070W	1	#00FF66
YPR043W	3	#00FFDE
YBR297W	1	#00FF66
YLR341W	11	#C100FF
YDL124W	1	#00FF66
YDR382W	2	#00FFA2
YGR127W	1	#00FF66
YAL062W	1	#00FF66
YPL119C	1	#00FF66
YOL131W	1	#00FF66
YDL082W	3	#00FFDE
YGL078C	2	#00FFA2
YGL076C	2	#00FFA2
YDL039C	2	#00FFA2
YBR157C	14	#FF0089
YJR041C	2	#00FFA2
YER121W	5	#00A8FF
YAR015W	2	#00FFA2
YDL241W	2	#00FFA2
YMR143W	2	#00FFA2
YPR005C	1	#00FF66
YOL121C	2	#00FFA2
YOR340C	2	#00FFA2
YLR346C	1	#00FF66
YBL072C	2	#00FFA2
YGR243W	4	#00E4FF
YDR500C	2	#00FFA2
YJL137C	1	#00FF66
YGL156W	1	#00FF66
YCR034W	2	#00FFA2
YDR345C	10	#8500FF
YIL053W	10	#8500FF
YJL066C	1	#00FF66
YOR343C	1	#00FF66
YLR042C	3	#00FFDE
YDL223C	1	#00FF66
YNL178W	3	#00FFDE
YDR184C	2	#00FFA2
YBR056W	1	#00FF66
YAL025C	2	#00FFA2
YPL257W-B	14	#FF0089
YGR085C	2	#00FFA2
YFR031C-A	2	#00FFA2
YPL036W	14	#FF0089
YGR118W	2	#00FFA2
YNL012W	8	#0D00FF
YKL133C	1	#00FF66
YHR163W	3	#00FFDE
YAL012W	2	#00FFA2
YLR264W	2	#00FFA2
YOR338W	1	#00FF66
YDR471W	2	#00FFA2
YML118W	1	#00FF66
YCR024C-B	3	#00FFDE
YPL186C	5	#00A8FF
YLR196W	2	#00FFA2
YOR095C	1	#00FF66
YKL150W	1	#00FF66
YLR080W	1	#00FF66
YLL026W	1	#00FF66
YMR251W-A	1	#00FF66
YNL335W	8	#0D00FF
YDR385W	2	#00FFA2
YHR218W	8	#0D00FF
YEL024W	1	#00FF66
YJL185C	1	#00FF66
YHR139C-A	1	#00FF66
YGL147C	3	#00FFDE
YPL095C	2	#00FFA2
YLR061W	3	#00FFDE
YEL041W	14	#FF0089
YKL067W	1	#00FF66
YNL270C	1	#00FF66
YGR248W	4	#00E4FF
YPR184W	1	#00FF66
YMR011W	14	#FF0089
YAR035W	9	#4900FF
YDR150W	1	#00FF66
YIL069C	2	#00FFA2
